lib_id,lane_id
S15BSBatR01,@A01426:178:HYL2KDSX2:2
S15BSBatR02,@A00821:878:HMW3CDSX2:3
S15BSBatR03,@A00821:878:HMW3CDSX2:4
S15BSBatR04,@A01426:178:HYL2KDSX2:2
S15BSBatR05,@A00920:865:HNKWJDSX2:4
S15BSBatR06,@A00270:251:HMMJYDSX2:1
S15BSBatR07,@A00877:869:HMMGFDSX2:1
S15BSBatR08,@A00877:869:HMMGFDSX2:1
S15BSBatR09,@A00877:869:HMMGFDSX2:1
S17BSBatR01,@A00289:527:HGCWNDSX2:4
S17BSBatR02,@A00821:833:HKFFTDSX2:4
S17BSBatR03,@A00821:833:HKFFTDSX2:4
S17BSBatR04,@A00881:816:HLGV5DSX2:4
S17BSBatR05,@A01426:131:HMLM5DSX2:4
S17BSBatR06,@A00783:825:HKCLLDSX2:4
S17BSBatR07,@A00783:825:HKCLLDSX2:4
S17BSBatR08,@A00783:825:HKCLLDSX2:4
S17BSBatR09,@A01426:178:HYL2KDSX2:2
S17BSBatR10,@A01426:178:HYL2KDSX2:2
S17BSBatR11,@A00253:579:HWYMWDSX2:1
S17BSBatR12,@A00877:890:HWY3FDSX2:4
S17BSBatR13,@A00253:579:HWYMWDSX2:1
S17BSBatR14,@A00253:579:HWYMWDSX2:1
S17BSBatR15,@A00253:579:HWYMWDSX2:1
S17BSBatR16,@A00253:579:HWYMWDSX2:1
S17BSBatR17,@A00877:890:HWY3FDSX2:4
S17BSBatR18,@A00877:890:HWY3FDSX2:4
S17BSBatR19,@A00877:890:HWY3FDSX2:4
S17BSBatR20,@A00877:890:HWY3FDSX2:4
S17BSBatR31,@A00917:815:HWWW3DSX2:4
S17BSBatR33,@A00917:815:HWWW3DSX2:4
S17BSBatR34,@A00917:815:HWWW3DSX2:4
S17BSBatR35,@A00917:815:HWWW3DSX2:4
S17BSBatR36,@A00917:815:HWWW3DSX2:4
S17BSBatR37,@A00917:815:HWWW3DSX2:4
S17BSBatR38,@A00917:815:HWWW3DSX2:4
S17BSBatR39,@A00917:815:HWWW3DSX2:4
S17BSBatR40,@A00917:815:HWWW3DSX2:4
S17BSBatR41,@A00821:910:HWTWMDSX2:2
S17BSBatR42,@A00821:910:HWTWMDSX2:2
S17BSBatR43,@A00821:910:HWTWMDSX2:2
S17BSBatR44,@A00821:910:HWTWMDSX2:2
S17BSBatR45,@A00821:910:HWTWMDSX2:2
S17BSBatR46,@A00821:910:HWTWMDSX2:2
S17BSBatR47,@A00821:910:HWTWMDSX2:2
S17BSBatR48,@A00253:579:HWYMWDSX2:1
S17BSBatR49,@A00821:910:HWTWMDSX2:2
S17BSBatR50,@A00917:815:HWWW3DSX2:4
S18CXBatR01,@A00877:890:HWY3FDSX2:4
S18CXBatR02,@A00877:890:HWY3FDSX2:4
S18CXBatR03,@A00877:890:HWY3FDSX2:4
S18CXBatR04,@A00877:890:HWY3FDSX2:4
S18CXBatR05,@A00877:890:HWY3FDSX2:4
